<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,19/09/18,10:36,111250.0,111270.0,111210.0,111270.0,130
SPFB.RTS-12.18,1,19/09/18,10:37,111270.0,111320.0,111270.0,111310.0,284
SPFB.RTS-12.18,1,19/09/18,10:38,111300.0,111320.0,111280.0,111280.0,166
SPFB.RTS-12.18,1,19/09/18,10:39,111270.0,111290.0,111230.0,111250.0,234
SPFB.RTS-12.18,1,19/09/18,10:40,111250.0,111260.0,111230.0,111260.0,49
SPFB.RTS-12.18,1,19/09/18,10:41,111260.0,111260.0,111200.0,111210.0,187
SPFB.RTS-12.18,1,19/09/18,10:42,111200.0,111200.0,111150.0,111190.0,265
SPFB.RTS-12.18,1,19/09/18,10:43,111190.0,111210.0,111180.0,111190.0,279
SPFB.RTS-12.18,1,19/09/18,10:44,111180.0,111200.0,111170.0,111170.0,218
SPFB.RTS-12.18,1,19/09/18,10:45,111160.0,111230.0,111140.0,111230.0,269
SPFB.RTS-12.18,1,19/09/18,10:46,111240.0,111240.0,111100.0,111190.0,1060
SPFB.RTS-12.18,1,19/09/18,10:47,111180.0,111220.0,111140.0,111140.0,260
SPFB.RTS-12.18,1,19/09/18,10:48,111160.0,111220.0,111090.0,111170.0,726
SPFB.RTS-12.18,1,19/09/18,10:49,111180.0,111220.0,111150.0,111190.0,208
SPFB.RTS-12.18,1,19/09/18,10:50,111180.0,111180.0,111120.0,111170.0,397
SPFB.RTS-12.18,1,19/09/18,10:51,111180.0,111180.0,111130.0,111150.0,223
SPFB.RTS-12.18,1,19/09/18,10:52,111170.0,111180.0,111110.0,111130.0,180
SPFB.RTS-12.18,1,19/09/18,10:53,111130.0,111160.0,111060.0,111100.0,523
SPFB.RTS-12.18,1,19/09/18,10:54,111100.0,111110.0,111080.0,111090.0,213
SPFB.RTS-12.18,1,19/09/18,10:55,111100.0,111190.0,111090.0,111180.0,222
SPFB.RTS-12.18,1,19/09/18,10:56,111180.0,111370.0,111180.0,111340.0,653
SPFB.RTS-12.18,1,19/09/18,10:57,111340.0,111340.0,111280.0,111300.0,279
SPFB.RTS-12.18,1,19/09/18,10:58,111300.0,111310.0,111270.0,111290.0,239
SPFB.RTS-12.18,1,19/09/18,10:59,111300.0,111680.0,111300.0,111580.0,3450
SPFB.RTS-12.18,1,19/09/18,11:00,111580.0,111600.0,111520.0,111550.0,396
SPFB.RTS-12.18,1,19/09/18,11:01,111560.0,111630.0,111510.0,111510.0,624
SPFB.RTS-12.18,1,19/09/18,11:02,111520.0,111530.0,111450.0,111500.0,653
SPFB.RTS-12.18,1,19/09/18,11:03,111480.0,111510.0,111420.0,111430.0,339
SPFB.RTS-12.18,1,19/09/18,11:04,111440.0,111480.0,111410.0,111470.0,326
SPFB.RTS-12.18,1,19/09/18,11:05,111470.0,111680.0,111470.0,111620.0,917
SPFB.RTS-12.18,1,19/09/18,11:06,111630.0,111750.0,111570.0,111680.0,750
SPFB.RTS-12.18,1,19/09/18,11:07,111670.0,111780.0,111610.0,111700.0,1410
SPFB.RTS-12.18,1,19/09/18,11:08,111700.0,111710.0,111630.0,111690.0,274
SPFB.RTS-12.18,1,19/09/18,11:09,111680.0,111690.0,111660.0,111660.0,161
SPFB.RTS-12.18,1,19/09/18,11:10,111680.0,111690.0,111620.0,111620.0,239
SPFB.RTS-12.18,1,19/09/18,11:11,111630.0,111640.0,111590.0,111640.0,248
SPFB.RTS-12.18,1,19/09/18,11:12,111640.0,111730.0,111640.0,111700.0,460
SPFB.RTS-12.18,1,19/09/18,11:13,111700.0,111720.0,111650.0,111670.0,298
SPFB.RTS-12.18,1,19/09/18,11:14,111670.0,111700.0,111650.0,111690.0,311
SPFB.RTS-12.18,1,19/09/18,11:15,111700.0,111730.0,111680.0,111700.0,403
SPFB.RTS-12.18,1,19/09/18,11:16,111700.0,111710.0,111670.0,111680.0,218
SPFB.RTS-12.18,1,19/09/18,11:17,111680.0,111710.0,111660.0,111660.0,208
SPFB.RTS-12.18,1,19/09/18,11:18,111680.0,111690.0,111640.0,111660.0,176
SPFB.RTS-12.18,1,19/09/18,11:19,111660.0,111700.0,111650.0,111660.0,286
SPFB.RTS-12.18,1,19/09/18,11:20,111670.0,111710.0,111670.0,111670.0,175
SPFB.RTS-12.18,1,19/09/18,11:21,111680.0,111680.0,111620.0,111640.0,302
SPFB.RTS-12.18,1,19/09/18,11:22,111640.0,111650.0,111620.0,111650.0,193
SPFB.RTS-12.18,1,19/09/18,11:23,111650.0,111660.0,111630.0,111660.0,237
SPFB.RTS-12.18,1,19/09/18,11:24,111660.0,111670.0,111650.0,111650.0,178
SPFB.RTS-12.18,1,19/09/18,11:25,111660.0,111660.0,111630.0,111650.0,217
SPFB.RTS-12.18,1,19/09/18,11:26,111650.0,111650.0,111540.0,111560.0,392
SPFB.RTS-12.18,1,19/09/18,11:27,111580.0,111590.0,111530.0,111570.0,305
SPFB.RTS-12.18,1,19/09/18,11:28,111580.0,111790.0,111570.0,111780.0,554
SPFB.RTS-12.18,1,19/09/18,11:29,111790.0,111950.0,111760.0,111910.0,1102
SPFB.RTS-12.18,1,19/09/18,11:30,111910.0,111960.0,111860.0,111930.0,835
SPFB.RTS-12.18,1,19/09/18,11:31,111950.0,111960.0,111860.0,111860.0,329
SPFB.RTS-12.18,1,19/09/18,11:32,111860.0,111860.0,111810.0,111820.0,189
SPFB.RTS-12.18,1,19/09/18,11:33,111820.0,111840.0,111780.0,111800.0,179
SPFB.RTS-12.18,1,19/09/18,11:34,111800.0,111840.0,111780.0,111840.0,220
SPFB.RTS-12.18,1,19/09/18,11:35,111840.0,111870.0,111780.0,111840.0,370
SPFB.RTS-12.18,1,19/09/18,11:36,111820.0,111840.0,111770.0,111800.0,279
SPFB.RTS-12.18,1,19/09/18,11:37,111800.0,111830.0,111770.0,111780.0,260
SPFB.RTS-12.18,1,19/09/18,11:38,111770.0,111790.0,111750.0,111790.0,194
SPFB.RTS-12.18,1,19/09/18,11:39,111790.0,111850.0,111770.0,111850.0,327
SPFB.RTS-12.18,1,19/09/18,11:40,111830.0,111890.0,111830.0,111870.0,317
SPFB.RTS-12.18,1,19/09/18,11:41,111880.0,111890.0,111820.0,111850.0,285
SPFB.RTS-12.18,1,19/09/18,11:42,111850.0,111860.0,111820.0,111840.0,333
SPFB.RTS-12.18,1,19/09/18,11:43,111850.0,111870.0,111810.0,111820.0,387
SPFB.RTS-12.18,1,19/09/18,11:44,111820.0,111830.0,111810.0,111810.0,279
SPFB.RTS-12.18,1,19/09/18,11:45,111820.0,111840.0,111800.0,111810.0,325
SPFB.RTS-12.18,1,19/09/18,11:46,111820.0,111850.0,111800.0,111840.0,272
SPFB.RTS-12.18,1,19/09/18,11:47,111840.0,111850.0,111800.0,111830.0,253
SPFB.RTS-12.18,1,19/09/18,11:48,111840.0,111910.0,111830.0,111910.0,253
SPFB.RTS-12.18,1,19/09/18,11:49,111900.0,111950.0,111890.0,111910.0,309
SPFB.RTS-12.18,1,19/09/18,11:50,111910.0,111910.0,111870.0,111870.0,211
SPFB.RTS-12.18,1,19/09/18,11:51,111880.0,112000.0,111880.0,111990.0,941
SPFB.RTS-12.18,1,19/09/18,11:52,112000.0,112030.0,111970.0,112010.0,544
SPFB.RTS-12.18,1,19/09/18,11:53,112010.0,112030.0,111970.0,112010.0,346
SPFB.RTS-12.18,1,19/09/18,11:54,112010.0,112010.0,111980.0,111990.0,284
SPFB.RTS-12.18,1,19/09/18,11:55,112000.0,112120.0,111970.0,112080.0,926
SPFB.RTS-12.18,1,19/09/18,11:56,112080.0,112120.0,112060.0,112090.0,411
SPFB.RTS-12.18,1,19/09/18,11:57,112080.0,112140.0,112080.0,112120.0,247
SPFB.RTS-12.18,1,19/09/18,11:58,112130.0,112130.0,112090.0,112090.0,399
SPFB.RTS-12.18,1,19/09/18,11:59,112080.0,112120.0,112080.0,112110.0,284
SPFB.RTS-12.18,1,19/09/18,12:00,112120.0,112130.0,112020.0,112050.0,430
SPFB.RTS-12.18,1,19/09/18,12:01,112060.0,112090.0,112000.0,112000.0,662
SPFB.RTS-12.18,1,19/09/18,12:02,112000.0,112040.0,111980.0,112020.0,485
SPFB.RTS-12.18,1,19/09/18,12:03,112030.0,112030.0,111970.0,112000.0,439
SPFB.RTS-12.18,1,19/09/18,12:04,112000.0,112010.0,111960.0,111990.0,274
SPFB.RTS-12.18,1,19/09/18,12:05,112000.0,112010.0,111920.0,111950.0,488
SPFB.RTS-12.18,1,19/09/18,12:06,111970.0,111990.0,111950.0,111980.0,220
SPFB.RTS-12.18,1,19/09/18,12:07,111990.0,112010.0,111980.0,112010.0,304
SPFB.RTS-12.18,1,19/09/18,12:08,112020.0,112020.0,111980.0,111980.0,278
SPFB.RTS-12.18,1,19/09/18,12:09,111990.0,112010.0,111980.0,112010.0,171
SPFB.RTS-12.18,1,19/09/18,12:10,112010.0,112020.0,111990.0,112000.0,243
SPFB.RTS-12.18,1,19/09/18,12:11,112000.0,112010.0,111950.0,111950.0,246
SPFB.RTS-12.18,1,19/09/18,12:12,111970.0,111980.0,111940.0,111950.0,251
SPFB.RTS-12.18,1,19/09/18,12:13,111950.0,112030.0,111940.0,111990.0,291
SPFB.RTS-12.18,1,19/09/18,12:14,111990.0,112040.0,111970.0,111980.0,435
SPFB.RTS-12.18,1,19/09/18,12:15,111980.0,112000.0,111960.0,111960.0,346
SPFB.RTS-12.18,1,19/09/18,12:16,111990.0,112000.0,111950.0,111970.0,179
SPFB.RTS-12.18,1,19/09/18,12:17,111980.0,111990.0,111940.0,111960.0,195
SPFB.RTS-12.18,1,19/09/18,12:18,111950.0,111970.0,111940.0,111940.0,239
SPFB.RTS-12.18,1,19/09/18,12:19,111940.0,111960.0,111930.0,111940.0,175
SPFB.RTS-12.18,1,19/09/18,12:20,111940.0,111950.0,111920.0,111940.0,171
SPFB.RTS-12.18,1,19/09/18,12:21,111950.0,111970.0,111910.0,111920.0,400
SPFB.RTS-12.18,1,19/09/18,12:22,111920.0,111920.0,111900.0,111910.0,498
SPFB.RTS-12.18,1,19/09/18,12:23,111900.0,111910.0,111830.0,111860.0,551
SPFB.RTS-12.18,1,19/09/18,12:24,111860.0,111880.0,111840.0,111850.0,403
SPFB.RTS-12.18,1,19/09/18,12:25,111850.0,111930.0,111850.0,111900.0,486
SPFB.RTS-12.18,1,19/09/18,12:26,111910.0,111930.0,111870.0,111880.0,399
SPFB.RTS-12.18,1,19/09/18,12:27,111880.0,111890.0,111840.0,111840.0,400
SPFB.RTS-12.18,1,19/09/18,12:28,111850.0,111870.0,111800.0,111820.0,382
SPFB.RTS-12.18,1,19/09/18,12:29,111820.0,111840.0,111800.0,111810.0,247
SPFB.RTS-12.18,1,19/09/18,12:30,111820.0,111830.0,111800.0,111800.0,232
SPFB.RTS-12.18,1,19/09/18,12:31,111800.0,111850.0,111800.0,111830.0,392
SPFB.RTS-12.18,1,19/09/18,12:32,111830.0,111880.0,111820.0,111840.0,480
SPFB.RTS-12.18,1,19/09/18,12:33,111840.0,111870.0,111820.0,111860.0,253
SPFB.RTS-12.18,1,19/09/18,12:34,111870.0,111910.0,111850.0,111870.0,346
SPFB.RTS-12.18,1,19/09/18,12:35,111860.0,111950.0,111860.0,111900.0,263
SPFB.RTS-12.18,1,19/09/18,12:36,111900.0,111920.0,111860.0,111890.0,300
SPFB.RTS-12.18,1,19/09/18,12:37,111900.0,111910.0,111850.0,111890.0,191
SPFB.RTS-12.18,1,19/09/18,12:38,111900.0,111910.0,111870.0,111900.0,199
SPFB.RTS-12.18,1,19/09/18,12:39,111900.0,111910.0,111880.0,111890.0,406
SPFB.RTS-12.18,1,19/09/18,12:40,111890.0,111890.0,111840.0,111870.0,249
SPFB.RTS-12.18,1,19/09/18,12:41,111880.0,111890.0,111850.0,111870.0,190
SPFB.RTS-12.18,1,19/09/18,12:42,111870.0,111890.0,111830.0,111890.0,298
SPFB.RTS-12.18,1,19/09/18,12:43,111880.0,111900.0,111870.0,111870.0,188
SPFB.RTS-12.18,1,19/09/18,12:44,111880.0,111880.0,111840.0,111840.0,171
SPFB.RTS-12.18,1,19/09/18,12:45,111840.0,111910.0,111820.0,111870.0,486
SPFB.RTS-12.18,1,19/09/18,12:46,111890.0,111910.0,111840.0,111860.0,640
SPFB.RTS-12.18,1,19/09/18,12:47,111880.0,111890.0,111830.0,111860.0,546
SPFB.RTS-12.18,1,19/09/18,12:48,111860.0,111920.0,111850.0,111900.0,430
SPFB.RTS-12.18,1,19/09/18,12:49,111900.0,111940.0,111870.0,111870.0,411
SPFB.RTS-12.18,1,19/09/18,12:50,111870.0,111880.0,111820.0,111820.0,579
SPFB.RTS-12.18,1,19/09/18,12:51,111840.0,111870.0,111800.0,111810.0,562
SPFB.RTS-12.18,1,19/09/18,12:52,111820.0,111840.0,111800.0,111810.0,357
SPFB.RTS-12.18,1,19/09/18,12:53,111820.0,111840.0,111800.0,111830.0,463
SPFB.RTS-12.18,1,19/09/18,12:54,111840.0,111840.0,111800.0,111810.0,594
SPFB.RTS-12.18,1,19/09/18,12:55,111810.0,111850.0,111800.0,111800.0,498
SPFB.RTS-12.18,1,19/09/18,12:56,111810.0,111810.0,111760.0,111790.0,570
SPFB.RTS-12.18,1,19/09/18,12:57,111800.0,111820.0,111750.0,111800.0,1018
SPFB.RTS-12.18,1,19/09/18,12:58,111800.0,111830.0,111760.0,111780.0,912
SPFB.RTS-12.18,1,19/09/18,12:59,111780.0,111810.0,111760.0,111770.0,1139
SPFB.RTS-12.18,1,19/09/18,13:00,111770.0,111800.0,111670.0,111680.0,730
SPFB.RTS-12.18,1,19/09/18,13:01,111690.0,111770.0,111670.0,111740.0,853
SPFB.RTS-12.18,1,19/09/18,13:02,111750.0,111820.0,111740.0,111770.0,559
SPFB.RTS-12.18,1,19/09/18,13:03,111770.0,111810.0,111740.0,111760.0,679
SPFB.RTS-12.18,1,19/09/18,13:04,111780.0,111850.0,111760.0,111830.0,801
SPFB.RTS-12.18,1,19/09/18,13:05,111840.0,111950.0,111840.0,111930.0,1160
SPFB.RTS-12.18,1,19/09/18,13:06,111940.0,111970.0,111860.0,111890.0,590
SPFB.RTS-12.18,1,19/09/18,13:07,111890.0,111910.0,111870.0,111870.0,408
SPFB.RTS-12.18,1,19/09/18,13:08,111890.0,111940.0,111870.0,111910.0,490
SPFB.RTS-12.18,1,19/09/18,13:09,111920.0,111950.0,111910.0,111950.0,311
SPFB.RTS-12.18,1,19/09/18,13:10,111930.0,111960.0,111890.0,111890.0,547
SPFB.RTS-12.18,1,19/09/18,13:11,111900.0,111920.0,111880.0,111890.0,451
SPFB.RTS-12.18,1,19/09/18,13:12,111900.0,111940.0,111860.0,111880.0,489
SPFB.RTS-12.18,1,19/09/18,13:13,111900.0,111910.0,111850.0,111860.0,264
SPFB.RTS-12.18,1,19/09/18,13:14,111860.0,111880.0,111810.0,111840.0,419
SPFB.RTS-12.18,1,19/09/18,13:15,111850.0,111880.0,111830.0,111850.0,730
SPFB.RTS-12.18,1,19/09/18,13:16,111850.0,111860.0,111820.0,111830.0,300
SPFB.RTS-12.18,1,19/09/18,13:17,111840.0,111860.0,111800.0,111820.0,602
SPFB.RTS-12.18,1,19/09/18,13:18,111820.0,111860.0,111820.0,111830.0,270
SPFB.RTS-12.18,1,19/09/18,13:19,111830.0,111850.0,111820.0,111850.0,434
SPFB.RTS-12.18,1,19/09/18,13:20,111850.0,111850.0,111800.0,111840.0,638
SPFB.RTS-12.18,1,19/09/18,13:21,111830.0,111850.0,111800.0,111810.0,557
SPFB.RTS-12.18,1,19/09/18,13:22,111810.0,111840.0,111790.0,111790.0,649
SPFB.RTS-12.18,1,19/09/18,13:23,111800.0,111820.0,111770.0,111800.0,278
SPFB.RTS-12.18,1,19/09/18,13:24,111810.0,111820.0,111790.0,111790.0,210
SPFB.RTS-12.18,1,19/09/18,13:25,111800.0,111830.0,111780.0,111800.0,328
SPFB.RTS-12.18,1,19/09/18,13:26,111800.0,111820.0,111770.0,111800.0,509
SPFB.RTS-12.18,1,19/09/18,13:27,111810.0,111850.0,111780.0,111780.0,609
SPFB.RTS-12.18,1,19/09/18,13:28,111780.0,111780.0,111750.0,111770.0,207
SPFB.RTS-12.18,1,19/09/18,13:29,111780.0,111820.0,111770.0,111800.0,259
SPFB.RTS-12.18,1,19/09/18,13:30,111810.0,111830.0,111800.0,111800.0,231
SPFB.RTS-12.18,1,19/09/18,13:31,111820.0,111850.0,111810.0,111830.0,256
SPFB.RTS-12.18,1,19/09/18,13:32,111850.0,111860.0,111830.0,111860.0,174
SPFB.RTS-12.18,1,19/09/18,13:33,111850.0,111880.0,111850.0,111860.0,214
SPFB.RTS-12.18,1,19/09/18,13:34,111850.0,111880.0,111830.0,111850.0,371
SPFB.RTS-12.18,1,19/09/18,13:35,111840.0,111910.0,111840.0,111900.0,406
SPFB.RTS-12.18,1,19/09/18,13:36,111910.0,111930.0,111870.0,111910.0,492
SPFB.RTS-12.18,1,19/09/18,13:37,111900.0,111900.0,111850.0,111850.0,365
SPFB.RTS-12.18,1,19/09/18,13:38,111850.0,111880.0,111850.0,111860.0,247
SPFB.RTS-12.18,1,19/09/18,13:39,111860.0,111880.0,111850.0,111860.0,158
SPFB.RTS-12.18,1,19/09/18,13:40,111870.0,111880.0,111830.0,111840.0,180
SPFB.RTS-12.18,1,19/09/18,13:41,111840.0,111850.0,111820.0,111840.0,166
SPFB.RTS-12.18,1,19/09/18,13:42,111830.0,111880.0,111830.0,111880.0,175
SPFB.RTS-12.18,1,19/09/18,13:43,111860.0,111880.0,111830.0,111840.0,671
SPFB.RTS-12.18,1,19/09/18,13:44,111830.0,111880.0,111820.0,111860.0,354
SPFB.RTS-12.18,1,19/09/18,13:45,111850.0,111920.0,111850.0,111900.0,353
SPFB.RTS-12.18,1,19/09/18,13:46,111890.0,111930.0,111870.0,111890.0,559
SPFB.RTS-12.18,1,19/09/18,13:47,111880.0,111900.0,111820.0,111860.0,468
SPFB.RTS-12.18,1,19/09/18,13:48,111840.0,111850.0,111770.0,111800.0,563
SPFB.RTS-12.18,1,19/09/18,13:49,111800.0,111810.0,111700.0,111700.0,926
SPFB.RTS-12.18,1,19/09/18,13:50,111710.0,111720.0,111620.0,111640.0,1067
SPFB.RTS-12.18,1,19/09/18,13:51,111640.0,111710.0,111640.0,111710.0,287
SPFB.RTS-12.18,1,19/09/18,13:52,111710.0,111720.0,111690.0,111700.0,275
SPFB.RTS-12.18,1,19/09/18,13:53,111700.0,111730.0,111680.0,111710.0,289
SPFB.RTS-12.18,1,19/09/18,13:54,111700.0,111720.0,111690.0,111700.0,174
SPFB.RTS-12.18,1,19/09/18,13:55,111700.0,111740.0,111680.0,111690.0,515
SPFB.RTS-12.18,1,19/09/18,13:56,111680.0,111750.0,111680.0,111730.0,477
SPFB.RTS-12.18,1,19/09/18,13:57,111730.0,111760.0,111700.0,111700.0,301
SPFB.RTS-12.18,1,19/09/18,13:58,111690.0,111730.0,111660.0,111690.0,420
SPFB.RTS-12.18,1,19/09/18,13:59,111670.0,111740.0,111670.0,111720.0,228
SPFB.RTS-12.18,1,19/09/18,14:00,111700.0,111760.0,111690.0,111760.0,242
SPFB.RTS-12.18,1,19/09/18,14:06,111750.0,111830.0,111700.0,111810.0,159
SPFB.RTS-12.18,1,19/09/18,14:07,111820.0,111820.0,111790.0,111800.0,84
SPFB.RTS-12.18,1,19/09/18,14:08,111800.0,111810.0,111720.0,111750.0,198
SPFB.RTS-12.18,1,19/09/18,14:09,111760.0,111770.0,111710.0,111710.0,228
SPFB.RTS-12.18,1,19/09/18,14:10,111720.0,111780.0,111700.0,111710.0,225
SPFB.RTS-12.18,1,19/09/18,14:11,111720.0,111750.0,111710.0,111720.0,121
SPFB.RTS-12.18,1,19/09/18,14:12,111730.0,111750.0,111690.0,111720.0,311
SPFB.RTS-12.18,1,19/09/18,14:13,111720.0,111730.0,111670.0,111710.0,301
SPFB.RTS-12.18,1,19/09/18,14:14,111720.0,111720.0,111600.0,111640.0,1338
SPFB.RTS-12.18,1,19/09/18,14:15,111650.0,111670.0,111580.0,111620.0,458
SPFB.RTS-12.18,1,19/09/18,14:16,111620.0,111630.0,111510.0,111530.0,719
SPFB.RTS-12.18,1,19/09/18,14:17,111550.0,111560.0,111390.0,111500.0,894
SPFB.RTS-12.18,1,19/09/18,14:18,111500.0,111540.0,111480.0,111500.0,295
SPFB.RTS-12.18,1,19/09/18,14:19,111520.0,111540.0,111480.0,111520.0,360
SPFB.RTS-12.18,1,19/09/18,14:20,111510.0,111520.0,111480.0,111480.0,266
SPFB.RTS-12.18,1,19/09/18,14:21,111480.0,111520.0,111470.0,111490.0,404
SPFB.RTS-12.18,1,19/09/18,14:22,111490.0,111510.0,111480.0,111490.0,95
SPFB.RTS-12.18,1,19/09/18,14:23,111490.0,111530.0,111470.0,111480.0,496
SPFB.RTS-12.18,1,19/09/18,14:24,111500.0,111570.0,111500.0,111550.0,164
SPFB.RTS-12.18,1,19/09/18,14:25,111540.0,111580.0,111540.0,111570.0,300
SPFB.RTS-12.18,1,19/09/18,14:26,111570.0,111610.0,111570.0,111580.0,142
SPFB.RTS-12.18,1,19/09/18,14:27,111580.0,111590.0,111570.0,111570.0,152
SPFB.RTS-12.18,1,19/09/18,14:28,111580.0,111580.0,111550.0,111550.0,254
SPFB.RTS-12.18,1,19/09/18,14:29,111540.0,111540.0,111510.0,111510.0,115
SPFB.RTS-12.18,1,19/09/18,14:30,111510.0,111540.0,111510.0,111530.0,68
SPFB.RTS-12.18,1,19/09/18,14:31,111530.0,111570.0,111520.0,111550.0,112
SPFB.RTS-12.18,1,19/09/18,14:32,111560.0,111590.0,111550.0,111570.0,154
SPFB.RTS-12.18,1,19/09/18,14:33,111580.0,111630.0,111550.0,111600.0,520
SPFB.RTS-12.18,1,19/09/18,14:34,111610.0,111680.0,111600.0,111650.0,265
SPFB.RTS-12.18,1,19/09/18,14:35,111650.0,111690.0,111650.0,111680.0,245
SPFB.RTS-12.18,1,19/09/18,14:36,111690.0,111690.0,111650.0,111650.0,72
SPFB.RTS-12.18,1,19/09/18,14:37,111640.0,111710.0,111640.0,111700.0,286
SPFB.RTS-12.18,1,19/09/18,14:38,111710.0,111720.0,111660.0,111680.0,201
SPFB.RTS-12.18,1,19/09/18,14:39,111680.0,111680.0,111640.0,111640.0,145
SPFB.RTS-12.18,1,19/09/18,14:40,111660.0,111700.0,111630.0,111680.0,94
SPFB.RTS-12.18,1,19/09/18,14:41,111690.0,111690.0,111650.0,111650.0,83
SPFB.RTS-12.18,1,19/09/18,14:42,111650.0,111680.0,111650.0,111670.0,63
SPFB.RTS-12.18,1,19/09/18,14:43,111680.0,111690.0,111670.0,111690.0,62
SPFB.RTS-12.18,1,19/09/18,14:44,111680.0,111690.0,111630.0,111640.0,164
SPFB.RTS-12.18,1,19/09/18,14:45,111630.0,111640.0,111600.0,111610.0,152
SPFB.RTS-12.18,1,19/09/18,14:46,111610.0,111750.0,111600.0,111740.0,408
SPFB.RTS-12.18,1,19/09/18,14:47,111760.0,111760.0,111690.0,111690.0,80
SPFB.RTS-12.18,1,19/09/18,14:48,111680.0,111700.0,111670.0,111680.0,76
SPFB.RTS-12.18,1,19/09/18,14:49,111680.0,111690.0,111630.0,111630.0,80
SPFB.RTS-12.18,1,19/09/18,14:50,111630.0,111720.0,111630.0,111690.0,230
SPFB.RTS-12.18,1,19/09/18,14:51,111690.0,111720.0,111620.0,111640.0,98
SPFB.RTS-12.18,1,19/09/18,14:52,111620.0,111620.0,111540.0,111540.0,142
SPFB.RTS-12.18,1,19/09/18,14:53,111550.0,111550.0,111470.0,111510.0,389
SPFB.RTS-12.18,1,19/09/18,14:54,111510.0,111540.0,111500.0,111530.0,274
SPFB.RTS-12.18,1,19/09/18,14:55,111530.0,111550.0,111520.0,111550.0,137
SPFB.RTS-12.18,1,19/09/18,14:56,111550.0,111560.0,111510.0,111510.0,90
SPFB.RTS-12.18,1,19/09/18,14:57,111510.0,111570.0,111510.0,111570.0,100
SPFB.RTS-12.18,1,19/09/18,14:58,111570.0,111620.0,111560.0,111620.0,129
SPFB.RTS-12.18,1,19/09/18,14:59,111600.0,111610.0,111540.0,111580.0,143
SPFB.RTS-12.18,1,19/09/18,15:00,111580.0,111600.0,111580.0,111580.0,30
